id,name,genre,grade_int,rating,ascents_done_count,overhang,vertical,slab,crag_name
39223,Utan tvekan,Sport,900,1.0476,42,1.0,0.0,0.0,Örnberget
96485,Mr Wint,Sport,900,1.04,25,1.0,0.0,0.0,Träskberget
38552,Asers Arête,Sport,600,1.0294,68,0.0,1.0,0.0,Dödskalleberget
41969,Nattskiftet,Sport,800,1.025,40,1.0,0.0,0.0,Örnberget
19813,Ormbunken,Sport,550,1.0,8,1.0,0.0,0.0,Finnsvedsberget
28694,Huvudleden,Traditional,650,1.0,10,1.0,0.0,0.0,Skevik
57081,Balla brallan,Sport,750,1.0,2,1.0,0.0,0.0,Flaten
57114,Hells Angels,Sport,900,1.0,2,1.0,0.0,0.0,Flaten
44226,Bender,Sport,800,1.0,4,0.0,1.0,0.0,Älvnäs
28690,Atlantis,Sport,750,1.0,55,1.0,0.0,0.0,Skevik
309338,Guerilla gardener,Sport,500,1.0,2,1.0,0.0,0.0,Finnsvedsberget
90553,Himmel blå,Partially bolted,600,1.0,1,0.0,0.0,1.0,Gritstoneberget
149488,Slå mig med slickepotten,Traditional,500,1.0,1,0.0,0.0,1.0,Gritstoneberget
241409,Kort och avig,Traditional,400,1.0,1,0.0,1.0,0.0,Gåseborg
316407,Mästerlotsen,Partially bolted,700,1.0,1,1.0,0.0,0.0,Gritstoneberget
44251,Kattresan ,Sport,900,1.0,14,1.0,0.0,0.0,Skevik
49921,Draget,Sport,850,1.0,2,1.0,0.0,0.0,Finnsvedsberget
51390,Rimliga ramar,Sport,750,1.0,1,1.0,0.0,0.0,Brakmaren
75580,Delikanten,Traditional,550,1.0,1,0.0,0.0,1.0,Solberget
42257,Häng loss,Sport,850,1.0,2,1.0,0.0,0.0,Sjötorpsberget
149343,"Vrålfinger, direktinsteg",Sport,750,1.0,16,0.0,1.0,0.0,Skevik
160392,Resa till natten ände,Sport,750,1.0,2,0.0,1.0,0.0,Skevik
205699,Senex dornium,Boulder,300,1.0,3,0.0,0.0,1.0,Harberget
126992,Via Aqua,Traditional,550,1.0,2,0.0,1.0,0.0,Skevik
64510,Den som tar han har,Sport,500,1.0,1,1.0,1.0,0.0,"Ekholmsnäs, Stockholm"
77306,Rövsvett,Sport,600,1.0,7,1.0,0.0,1.0,Sjötorpsberget
320625,Critical Metals,Sport,900,1.0,1,1.0,1.0,0.0,Dyviksudd
268460,Greenpeace,Traditional,450,1.0,1,0.0,0.0,1.0,Träskberget
248845,Tomahawks,Traditional,380,1.0,1,0.0,0.0,1.0,Träskberget
243887,Gör det bara,Traditional,400,1.0,9,0.0,0.0,1.0,Träskberget
120870,Oktoberfesten,Traditional,300,1.0,7,0.0,0.0,1.0,Träskberget
98044,Karisma Gourmet (Skitafull med tunnbrödsrulle),Partially bolted,650,1.0,1,1.0,0.0,0.0,Träskberget
96481,Stenhårde Kalle,Sport,900,1.0,2,1.0,0.0,0.0,Träskberget
313492,Italo disco,Sport,650,1.0,3,0.0,0.0,1.0,Dyviksudd
314160,Monsieur Ballayr,Sport,700,1.0,1,0.0,1.0,0.0,Dyviksudd
58259,Oldfinger,Sport,1050,1.0,5,1.0,0.0,0.0,Träskberget
46013,Sista båten från Singapore,Sport,900,1.0,1,1.0,0.0,0.0,Träskberget
45989,Ahab,Traditional,300,1.0,12,0.0,0.0,1.0,Träskberget
77308,Analterror,Sport,850,1.0,1,1.0,0.0,1.0,Sjötorpsberget
39195,Mickes Led,Sport,950,1.0,7,1.0,0.0,0.0,Träskberget
57077,Clouseau,Sport,1100,1.0,10,1.0,0.0,0.0,Flaten
65732,Fingers off the Foxy Lady!,Sport,750,1.0,4,1.0,0.0,0.0,Törnskogsklippan
45816,En byrå underifrån,Traditional,300,1.0,1,0.0,0.0,1.0,Dödskalleberget
246911,Förlängd abnorm erektion,Sport,650,1.0,1,0.0,1.0,0.0,"Ekholmsnäs, Stockholm"
137712,Monkey Business,Traditional,450,1.0,1,0.0,0.0,1.0,Dödskalleberget
246909,Ribban,Sport,800,1.0,1,1.0,0.0,0.0,"Ekholmsnäs, Stockholm"
246876,Abnorm erektion,Sport,500,1.0,1,1.0,1.0,0.0,"Ekholmsnäs, Stockholm"
300310,Ursprunget vänster,Sport,700,1.0,12,1.0,0.0,0.0,Henriksdal
300421,Equiboss,Sport,750,1.0,2,1.0,0.0,0.0,Henriksdal
